Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.5816666666666667,7.471666666666667,44.83,SC 90% BEEF 1 Z • NP BNL CHKN B ST • SC 90%LEAN GRBF • TH FRMS LAMB ILB • SB SLC BACON 162 • CHORIZO LINK 162
1,PRODUCE,0.421,5.917000000000001,59.17000000000001,CAULIFLOWER 9CT • SW GARLIC 9.52 • CELLO LETTUCE 24 • 2LB BABY PLD CAR • MANDARINS 3LB • NP ORG FUJI 3LB • BROCCOLI CROWNS • RED SDLS GRAPES • BLUEBERRIES 182 • +HASS AVOCADOS
2,GROCERY,0.24,1.54,1.54,SB ELBOW MACRONI
3,FROZEN FOOD,0.095,1.375,2.75,SB CUT BROC 162 • SB GREEN PEAS16Z
4,BAKERY - COMMERCIAL,0.19333333333333333,4.8533333333333335,14.56,PHLY MALTYGR18.4 DAIRY • HLNDL EGGS MD12C • MhC N CHEESE BLD
5,BAKE SHOP,0.0,3.0,3.0,12 GLAZED DONUTS
6,PREPARED FOODS,0.0,6.99,6.99,ROTIS CHKN HOT 
7,DAIRY,0.0,0.0,0.0,
8,GENERAL MERCHANDISE,0.0,0.0,0.0,
9,HEALTH AND BEAUTY CARE,0.0,2.54,5.08,Cl 91% ISO ALCHL • Cl SJ CTTN BALLS
